ra,dec,hst-f814w,uvista-y,uvista-j,uvista-h,uvista-ks,irac-ch1,irac-ch2,nircam_f115w,nircam_f150w,nircam_f277w,nircam_f444w,zpdf_med,mass_med,ssfr_med,ML-class,SED-class,ML-class_prob
150.3713974,2.067347131,26.70058397,25.66579017,25.05326267,23.85375913,23.30772615,22.54328958,22.2751661,26.05646119,24.6681678,22.95082709,22.1210406,2.5038,10.65737,-9.12299,FALSE,FALSE,6.43E-06
150.3952306,2.06407286,22.4457046,18.33928872,18.66669081,20.00899341,21.00159829,21.74955524,22.58898174,21.8269471,21.83212088,21.84828553,21.94419511,2.5016,9.85,-7.3,FALSE,FALSE,0.609948711
150.3916712,2.066801703,24.51522436,23.61641624,23.65984768,23.29028354,23.23511533,23.31812676,23.16174931,24.28576448,23.69191469,23.2002441,22.94051862,2.5116,9.77956,-8.35667,FALSE,FALSE,0.006741604
150.4217849,2.0593636,27.78924281,24.98664506,24.96301781,24.18488675,23.60583127,22.65962723,22.15234201,26.20133243,25.43567268,23.19435483,21.95721297,2.5123,10.1537,-7.75795,FALSE,FALSE,0.000994288
150.4347201,2.067271053,24.41672502,23.70131829,23.62866552,23.19225444,23.25915201,23.15472299,23.19033157,24.45277437,23.62003838,23.23929298,23.12815354,2.5123,9.72268,-8.45483,FALSE,FALSE,0.000143864
150.3727806,2.107522665,27.94765591,26.8100685,25.94582692,24.55022435,23.77717039,22.45091796,22.05674926,27.25393936,25.75941003,23.3034262,21.96612014,2.5044,10.48099,-8.20365,FALSE,FALSE,0.876180861
149.7671561,1.92811168,27.53791279,24.82801357,24.70820001,23.49503942,22.78559934,21.61500613,21.30309017,26.67557011,24.34205418,22.22725224,21.07120536,2.5128,10.92229,-8.48226,FALSE,FALSE,0.000111406
149.723917,1.964839575,24.78731112,24.55473854,23.82622112,23.55532018,23.21797691,22.87524786,22.87463981,24.67714947,23.95170921,23.54926259,23.45085719,2.5077,9.67786,-8.46592,FALSE,FALSE,2.20E-05
149.7594919,1.956797876,24.36737867,22.72139464,22.77885141,22.81450685,23.01484997,23.25730165,23.30709891,24.0178264,23.44724052,23.07882559,22.99643418,2.5214,9.63754,-8.04479,FALSE,FALSE,0.002838783
149.7805071,1.953507109,28.69633404,22.1700949,22.31932541,22.61391422,22.48809726,21.91185438,21.58483568,25.75615481,24.68599686,22.29362254,21.3603486,2.52,10.4922,-7.59028,FALSE,FALSE,0.999694047
149.7984643,1.966216592,28.18387677,24.00224959,24.30956399,23.71371968,23.64913826,22.76709773,22.62055588,26.54301739,25.33388639,23.4192636,22.59153707,2.5167,10.14595,-8.15615,FALSE,FALSE,0.000260311
149.7947435,1.967489363,27.70504319,22.70317433,22.96156159,22.55008969,22.15138489,21.61957801,21.45202929,24.93495102,23.46690514,21.87363958,21.34122706,2.5186,10.38541,-7.96553,TRUE,FALSE,0.000209343
149.8007233,1.970820411,27.92343629,25.3860914,24.7790409,23.95102882,23.16650569,22.17684878,21.72506902,25.9725354,24.91956729,22.67490934,21.48976712,2.5077,10.1823,-7.5605,FALSE,FALSE,3.76E-05
149.8163656,1.979515736,24.58228781,23.43893554,23.08472924,22.43296195,22.12850267,21.73022007,21.61841038,23.88420965,23.03839694,21.99416403,21.39110714,2.5142,10.50609,-8.43444,FALSE,FALSE,0.485529793
149.6971317,2.027799018,26.39855812,24.77845174,23.52379719,22.7205607,22.24456197,21.86323101,21.55964805,24.54738241,23.23234996,21.9697965,21.36964436,2.5177,10.7877,-9.08991,TRUE,FALSE,0.000491665
149.7441609,2.014826566,26.41076419,24.7262375,24.09614584,23.82964695,23.58651406,23.65185187,23.26949274,25.57810769,24.83857113,23.5946469,22.99990057,2.5046,9.66127,-8.03254,FALSE,FALSE,3.22E-05
149.7377781,2.017389545,25.42465448,24.649207,24.37328814,23.29200605,23.03287387,22.55865647,22.43868733,25.1686868,23.8388811,22.81310122,22.32695985,2.5181,10.3848,-8.88309,FALSE,FALSE,2.76E-05
149.7638645,2.011860734,25.08576052,24.15201551,23.87161699,23.24724368,23.14932842,22.8267379,22.90368755,24.63748629,23.64295408,23.11964358,22.85503878,2.5142,9.87973,-8.32362,FALSE,FALSE,3.55E-05
149.7079588,2.037183708,28.9545273,24.67906579,24.17239865,23.97247361,23.36403639,22.36552426,22.08976353,27.22037149,26.0949891,23.01807701,21.71572435,2.5152,10.62417,-8.15388,FALSE,FALSE,0.005323362
149.6981132,2.041514905,27.52677892,25.6700448,24.57005908,23.68826542,23.0619413,22.40978989,22.17528364,25.75512964,24.38089061,22.69121977,22.01958546,2.505,10.49893,-8.58149,TRUE,FALSE,1.23E-05
149.7087991,2.044678026,24.51421739,23.27418424,23.14094816,22.84917305,23.01164487,23.48139884,23.55972691,24.32330335,23.65098787,23.33410943,23.20372509,2.5049,9.58982,-8.10837,FALSE,FALSE,0.001457473
149.7194293,2.041593113,23.16008515,20.88355761,20.3878854,20.9034131,21.25052556,21.22733881,21.05260472,22.73300777,22.31558738,21.983772,21.82425116,2.5033,9.75001,-7.3,FALSE,FALSE,0.001666709
149.8083727,2.021110316,25.64085884,24.94047877,24.51599287,23.82482228,23.73898613,23.66391796,23.73459259,25.05972523,24.19578393,23.48711548,23.19054068,2.517,9.95449,-8.95018,FALSE,FALSE,0.001088535
149.7384706,2.059235687,27.07794318,25.31406169,25.04018093,24.44325368,23.99602679,22.99817824,22.68681768,27.15218872,25.84639197,23.76057637,22.75571143,2.5167,10.07288,-8.20943,FALSE,FALSE,0.001041285
149.8132663,2.040604181,24.91354483,24.22915964,23.85925042,23.20308522,22.91525418,23.17654268,23.06475451,24.49959584,23.50907213,22.90338653,22.62621063,2.5056,10.24895,-9.11567,FALSE,FALSE,0.014774034
149.7180102,2.08555147,23.56268526,23.33565992,23.16673765,22.71115283,22.7723186,22.96728221,22.95554413,23.52616331,23.05146105,22.79920763,22.67003464,2.5066,9.9192,-8.45931,FALSE,FALSE,0.030854189
149.7297889,2.081819031,27.49141657,24.65019449,23.85566484,23.27249753,22.90656041,22.617015,22.44449358,25.67455651,24.08539211,22.6930712,22.20638482,2.5128,10.21677,-8.3503,TRUE,FALSE,0.000228034
149.7685333,2.069324231,25.15756638,24.94441464,24.49961419,23.83567364,23.93139509,23.90444814,23.87184483,24.84509799,24.29671335,23.81706219,23.57748261,2.5223,9.57191,-8.33919,FALSE,FALSE,0.961232512
149.7749873,2.068132747,26.05116066,25.30045165,24.68849557,23.75559625,23.52576462,23.22724842,23.06932647,25.29777804,24.35773931,23.3380859,22.76168143,2.5234,10.12945,-8.73455,FALSE,FALSE,0.389357427
149.7629085,2.074486176,27.06792841,22.20188249,22.46772255,22.31009588,22.14606714,21.32721176,21.55238682,27.88623404,26.01451822,22.76275286,21.98221511,2.5103,9.85006,-7.30012,FALSE,FALSE,6.12E-05
149.7275167,2.092626654,24.36097952,23.35651048,23.08916152,22.76237366,22.60550297,22.37196475,22.30063412,23.94619022,23.27678653,22.55362429,22.09527242,2.5087,9.78307,-7.61272,FALSE,FALSE,0.019995136
149.7151436,2.10111793,27.75394149,25.52482596,24.43866924,23.8556077,23.32089726,22.71390579,22.38548677,25.97416231,24.69469249,22.97532577,22.32671549,2.5085,10.2621,-8.31648,FALSE,FALSE,0.001356809
149.768485,2.099603086,26.09053745,24.81248496,23.85660334,23.37517481,22.86826172,22.5279916,22.12156013,24.90771501,24.10924824,22.54289705,21.77365635,2.51,10.10343,-7.60614,FALSE,FALSE,0.354390219
149.8238614,2.099637158,26.1654271,25.39849279,24.71386799,23.24153432,22.85768263,22.88510425,22.64664896,24.84458309,23.38239689,22.69555397,22.38531962,2.5022,10.34992,-10.59981,TRUE,TRUE,0.995429366
149.8473958,2.09496273,25.00678334,24.45589268,23.98662111,23.09411932,22.70287702,22.34476846,22.18820808,24.39820966,23.39271498,22.37042612,21.95761212,2.5211,10.59865,-9.12337,FALSE,FALSE,0.34099439
149.90198,1.879785886,24.57096221,23.34371452,22.76773409,21.88621807,21.52388803,21.30676016,21.12992786,23.86939093,22.42007187,21.357955,20.9705107,2.5063,11.02034,-9.10055,TRUE,FALSE,0.999409797
149.8710227,1.89119169,26.17388012,25.16861344,24.01353568,23.47561738,22.8827752,22.02039249,21.68015335,24.93050427,24.15400939,22.48241169,21.59736569,2.5093,10.10683,-7.62406,FALSE,FALSE,0.001697978
149.8939969,1.893517447,24.51560017,24.27065557,24.05487829,23.58731337,23.64273581,23.69548576,23.67191886,24.54426524,23.95188313,23.72046528,23.55443056,2.5161,9.54997,-8.47936,FALSE,FALSE,6.42E-05
149.8392343,1.91792076,25.58713225,24.27147811,24.0205972,23.40847986,23.37519382,23.26699051,23.20768575,24.78345512,23.8908702,23.34472453,23.10818065,2.5179,9.74301,-8.37983,FALSE,FALSE,1.47E-05
149.8162513,1.926897879,26.59818512,24.40108821,24.70401997,24.39147192,24.04203402,23.51287241,23.08881198,26.72095317,25.05636763,23.7716292,22.89650801,2.5136,9.71863,-7.91783,FALSE,FALSE,0.053643422
149.8470334,1.916390907,28.01656557,24.86877657,24.37603901,23.95211796,23.2325222,22.28581136,21.83867353,27.69357135,25.00836214,22.76115212,21.65883906,2.5122,10.80751,-8.69358,FALSE,FALSE,7.20E-05
149.8947667,1.899714377,24.909297,23.66499751,22.7096067,21.90913011,21.75854844,21.5077383,21.27135145,24.73210577,23.00888043,22.20410671,21.85605997,2.5055,9.85,-7.3,FALSE,FALSE,5.15E-05
149.8143516,1.931644163,28.10219709,23.46340739,23.40549155,23.66403227,23.55001443,22.81015557,22.341438,27.65416205,25.89584041,23.46315849,22.2193538,2.5228,10.08727,-7.62599,FALSE,FALSE,5.48E-05
149.8510723,1.919426014,25.07490394,21.95611987,21.71254662,21.88243387,22.08646174,22.39816746,22.01997976,24.59496012,24.01437116,22.30252291,21.5952309,2.5199,10.14018,-7.62444,FALSE,FALSE,0.135391808
149.8497246,1.920002758,27.00854482,24.54830449,23.90555652,23.29321409,22.98486468,22.9129948,22.66208685,25.147913,23.83475006,22.86419178,22.49504249,2.5177,10.0224,-8.22655,TRUE,FALSE,0.004526233
149.85788,1.91766434,25.19377469,19.7120236,19.76962337,21.15897358,21.25069059,21.55074506,21.4511356,23.17444514,22.26888412,21.52502757,21.22419986,2.5,10.51451,-8.20384,TRUE,FALSE,0.000289508
149.8221486,1.931199742,27.72672027,23.47681682,23.50078408,23.43462865,23.24051601,22.7174343,22.30305835,26.58633068,24.9408598,23.11139826,22.19972241,2.5216,10.18388,-7.97881,FALSE,FALSE,0.009388878
149.8685065,1.915612112,26.38726609,25.41586957,24.95515996,24.30104991,23.87669575,24.15053662,23.80162258,25.51519166,24.56226705,23.51940343,23.00280207,2.5141,10.24676,-9.69312,FALSE,FALSE,0.000768083
149.8138211,1.944030983,26.3836492,22.71149954,22.85821889,22.53711375,22.33440934,22.29876959,22.16345898,24.94713936,23.50616877,22.30794849,22.01848729,2.5104,9.95461,-7.60895,TRUE,FALSE,0.000248158
149.923497,1.90380746,25.84911866,24.80442145,23.79920236,23.27802932,22.5553076,21.69064505,21.25917509,25.87456387,23.95419859,22.10918351,21.06475611,2.508,10.41414,-7.67187,FALSE,FALSE,0.002187625
149.827241,1.939311185,26.33129294,24.97825044,24.4513848,23.688641,23.24234231,22.97610973,22.61149157,25.27068788,24.33323512,22.92634775,22.1240231,2.5127,10.31467,-8.42411,FALSE,FALSE,4.41E-06
149.8479343,1.96057513,25.20357939,24.15525302,23.9393609,23.50130887,23.52382681,23.62274326,23.57310557,24.62826965,24.06122158,23.51623558,23.20278726,2.5049,9.57843,-8.19431,FALSE,FALSE,5.94E-05
149.9077421,1.945933054,24.59535838,23.89032129,23.71340572,23.18498205,23.15513348,23.23483792,23.11290707,24.00943345,23.51770887,23.19954607,22.92403092,2.5072,9.78256,-8.34794,FALSE,FALSE,0.00014977
149.8291218,1.979005106,25.26278882,24.9871547,24.81751955,24.16310705,24.14875033,24.80093782,24.48158091,25.15553101,24.57638407,24.12574684,23.85292107,2.5069,9.53037,-8.61802,FALSE,FALSE,0.571351914
149.8366728,1.978628827,24.82595576,24.06775828,23.86104505,23.35037443,23.25190813,23.04416226,23.04302468,24.48980968,23.86670913,23.24732123,22.86620465,2.5082,9.71561,-7.86311,FALSE,FALSE,7.30E-05
149.9025845,1.956113475,28.1191307,27.13766701,25.96768465,24.30008353,23.56451778,22.10114544,21.58042319,27.84704387,25.97435802,22.82347721,21.37834554,2.5184,11.1139,-8.78309,FALSE,FALSE,0.001050666
149.9027575,1.961332063,27.8482241,26.63888192,25.53996299,24.11978894,23.64947684,22.89872944,22.70455826,27.42006743,25.30526455,23.37351512,22.51746254,2.5033,10.44283,-8.72201,FALSE,FALSE,1.34E-05
149.9076026,1.961249303,27.87933153,26.41650007,25.93309533,25.19976567,25.03319593,24.68642686,24.46570812,27.03524935,25.82961058,24.57540157,24.01113865,2.5032,9.76051,-9.00192,FALSE,FALSE,8.97E-05
149.8301019,1.989933248,25.69298662,24.38297795,23.90138011,22.64357423,22.32570209,21.93791278,21.71392012,24.50387396,23.05648451,22.15334196,21.6699131,2.507,10.7838,-9.57553,FALSE,FALSE,5.61E-05
149.9073153,1.966238925,26.71056365,25.49031272,24.72232635,23.19941287,22.7982978,22.85570934,22.6184311,25.31798742,23.69626715,22.59417367,22.20307532,2.5154,10.55,-9.92907,TRUE,FALSE,6.47E-05
149.8310829,2.003862454,24.74095397,24.25969313,23.35061894,23.19415279,23.04611628,23.33251907,23.53445697,24.75310528,23.7073418,23.28146761,23.0808783,2.5089,9.70856,-8.13249,FALSE,FALSE,0.999998692
149.963329,1.96174781,25.73142268,25.40263393,24.81897754,24.39513908,24.31729865,24.29749959,24.20310947,25.51521342,24.75943492,24.18548788,23.85202821,2.5044,9.50845,-8.47316,FALSE,FALSE,0.002114791
149.8801557,1.997611249,24.54606689,21.53545314,21.99593528,22.04314079,22.10828015,22.18402867,21.84004176,25.17767851,23.97780373,22.37490086,21.62807054,2.5201,10.05,-7.3,FALSE,FALSE,0.013862744
149.893039,2.000579259,24.42010548,21.02150561,21.59571049,21.87629898,22.13178527,22.46001221,22.47213446,23.29233221,22.90451548,22.36068324,22.26432833,2.5208,9.65,-7.3,FALSE,FALSE,0.003255504
